Basin,Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Arkoma,CANYON CREEK ENERGY ARKOMA LLC,1.0,,,1.0,1.0,1.0,4
Arkoma,CITATION OIL & GAS CORPORATION,,,1.0,1.0,1.0,,3
Arkoma,HILL OIL COMPANY INC,,,,1.0,1.0,,2
Arkoma,PABLO ENERGY II LLC,1.0,,1.0,1.0,1.0,1.0,5
Arkoma,PRAIRIE GAS COMPANY OF OKLAHOMA LLC,,,1.0,1.0,1.0,1.0,4
Arkoma,SANGUINE GAS EXPLORATION LLC,,,1.0,,,,1
Arkoma,SILVER CREEK OIL & GAS LLC,,1.0,,,,,1
Arkoma,TRINITY OPERATING (USG) LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Austin Chalk,"CONTINENTAL TREND RESOURCES, INC",,,1.0,,,,1
Austin Chalk,"FORZA OPERATING, LLC",,1.0,1.0,,,,2
Austin Chalk,"MUD CREEK OPERATING, LLC",,,,,1.0,,1
Austin Chalk,"NAVIDAD OPERATING COMPANY, LLC",,,1.0,1.0,,,2
Austin Chalk,VERDUN OIL & GAS LLC,1.0,1.0,,,1.0,1.0,4
Austin Chalk,WALTER OIL & GAS CORPORATION,1.0,1.0,1.0,1.0,,1.0,5
Bakken,MARATHON OIL COMPANY,3.0,3.0,3.0,2.0,3.0,3.0,17
Bakken,SCOUT ENERGY MANAGEMENT LLC,,,,,1.0,1.0,2
Bakken,"BOWLINE ENERGY, LLC",1.0,1.0,,1.0,1.0,1.0,5
Bakken,"CONTINENTAL RESOURCES, INC.",10.0,9.0,9.0,10.0,10.0,10.0,58
Bakken,CRESCENT POINT ENERGY U.S. CORP.,1.0,1.0,1.0,1.0,1.0,1.0,6
Bakken,ENERPLUS RESOURCES USA CORPORATION,1.0,2.0,1.0,1.0,1.0,1.0,7
Bakken,"GRAYSON MILL OPERATING, LLC",1.0,1.0,,1.0,1.0,1.0,5
Bakken,"HESS BAKKEN INVESTMENTS II, LLC",3.0,2.0,3.0,3.0,3.0,3.0,17
Bakken,HUNT OIL COMPANY,1.0,1.0,1.0,1.0,1.0,1.0,6
Bakken,"IRON OIL OPERATING, LLC",,,1.0,1.0,1.0,,3
Bakken,"KODA RESOURCES OPERATING, LLC",,,1.0,,,,1
Bakken,KRAKEN OPERATING LLC,1.0,1.0,,1.0,1.0,1.0,5
Bakken,"KRAKEN OPERATING, LLC",,,1.0,,,,1
Bakken,MUREX PETROLEUM CORPORATION,1.0,1.0,,,,,2
Bakken,OASIS PETROLEUM NORTH AMERICA,1.0,,1.0,1.0,1.0,1.0,5
Bakken,OASIS PETROLEUM NORTH AMERICA LLC,1.0,2.0,1.0,1.0,1.0,1.0,7
Bakken,OVINTIV PRODUCTION INC.,1.0,1.0,1.0,1.0,1.0,1.0,6
Bakken,"PETRO-HUNT DAKOTA, LLC",,,1.0,1.0,,,2
Bakken,"PETRO-HUNT, L.L.C.",1.0,1.0,,,1.0,1.0,4
Bakken,PETROSHALE (US) INC.,,,1.0,,,,1
